Question,PlainTextAnswer,MLAI's ChatGPT Responses
How to add a beneficiary in Trade Online?,"Navigate to the following path to add new beneficiary in Trade Online, MASTERS > BENEFICIARY MAINTENANCE",
How do I open a Fixed Deposit?,"{""title"":"""",""options"":[{""title"":""Back to Menu"",""kind"":""articleTitle"",""type"":""quick"",""events"":[],""content"":""2356414563|Menu""}],""content"":""Sure, let me help you with that. There are many types of Fixed Deposits that you can invest in such as long term FD, Tax saver FD, money multiplier FD and special rates FD. We also offer higher interest for senior citizens. You can open a Fixed Deposit through ""Accounts & Deposits"" icon available on homepage. Please click here ""nanorep://#openfd to navigate. To learn more watchan iPlay video by clicking here ""https://www.youtube.com/embed/SbrTg1w1h3o?utm_source=iPal&utm_medium=iPlay_Videos&utm_campaign=iPlay+iPal ."",""isCTA"":true}",
What is the interest I would be earning in case I break my FD before maturity?,"Fixed Deposit (FD) can be closed before its original term by following the path:Login to iMobile Pay: Go to 'Accounts and Deposits' > click on 'Deposits' > select desired FD number > click on 'More Options' and select Pre-mature or Partial closure as per your requirement.The following types of withdrawals are permitted: Premature withdrawal: the interest on it will be earned for the period it is held with the bank minus the premature closure charges which is 0.5% if original tenure is less than 1 year and 1% for more than 1 year. Note: No interest is payable for deposits prematurely withdrawn within the period of 7 days from the date of deposit and no premature closure charges are applicable either. Partial Withdrawal: You can withdraw in multiples of Rs 1000 from your FD. The remaining balance would continue to earn the original rate of interest. Overdraft against FD: In case you don't want to break your fixed deposit, you can also take an over-draft (loan) of up to 90% of FD amount.To get an overdraft against your existing FD: login to iMobile pay > go to 'Accounts and Deposits' > click on 'OD against FD' and fill the amount details.",
What is the tax saver FD interest rate?,"Tax-saver fixed deposits have a fixed interest rate that remains the same throughout the 5­ year tenure. The interest rates for Indian citizens, HUFs and NRIs vary. Senior citizens are offered higher interest rates. The interest is taxable, deducted at source, and added to your income.",
At what frequency will I receive interest on my Fixed Deposit ?,"FDs created on iPal chatbot are opened under the reinvestment scheme (cumulative FD) i.e., interest will be compounded quarterly and paid at the date of maturity or reinvested in a new FD after maturity incase 'auto renewal' option is enabled. For the Traditional scheme, the interest on the Fixed Deposit (FD) account is credited to the savings account specified by you on a monthly basis or on a quarterly basis",
Is TDS deductible on the interest earned on Fixed deposits?,"Banks need to deduct tax on interest credited/paid or likely to be credited/paid exceeding Rs. 40,000 to a normal depositor and Rs. 50,000 to a senior citizen depositor. If a valid PAN card is provided by the customer the tax deduction would be 10%  else the deduction would be 20% for all the interest earned above the mentioned limits.  If the form 15G/H is submitted by the customer for a given fixed deposit with valid PAN card there won't be any tax deduction. According to Finance Bill, 2015, effective June 1, 2015, TDS shall be applicable on the interest earned on fixed deposit/ variable recurring deposits etc. Interest earned from fixed deposit/ recurring deposit / variable recurring deposit shall be clubbed for the purpose of computing the total interest paid/ payable during the financial year and applicability of TDS.As per the provisions of Finance Act 2009, w.e.f April 1, 2010, valid PAN is required to be submitted by all customers whose tax needs to be deducted. In the absence of a valid PAN, tax will be deducted at the prevailing rate or 20% whichever is higher. Also, Form 15G/ H shall not be treated as valid, unless PAN is mentioned in such forms.",
Can I close fixed deposit which has an over draft account taken against it?,"You can close both FD and OD prematurely through Internet Banking.. Once you go for premature closure of a fixed deposit, you will get a pop up message stating OD taken against that fixed deposit would be closed. Your savings account will be credited with fixed deposit closure amount and OD settlement amount will be debited. To do the premature closure of FD and the OD: Login to internet banking: Go to 'Service request', click on 'Deposits', tap on 'Closure/renewal of fixed deposit'.",
How do I apply for a Personal Loan?,"{""queryResult"":{""intent"":{""displayName"":""""},""responseMessages"":[{""text"":{""text"":[""<p>To apply for a Personal Loan, please <a href=\""javascript:cmCodeRedirection('INPL')\"">click here</a></p> </br>  </br> <p>You may also go to Cards &amp; Loans &gt; Loans &gt; Apply for ICICI Bank Loan &gt; Personal&nbsp;Loan &gt; Apply Now.</p> </br>  </br>  </br> <page_separator/> </br>  </br> <p style=\""text-align: center;\""><a href=\""https://www.youtube.com/embed/a40RnTy4WMQ?utm_source=iPal&amp;utm_medium=iPlay_Videos&amp;utm_campaign=iPlay+iPal\"" target=\""_blank\""><img alt=\""\"" src=\""https://www.icicibank.com/assets/images/iplay-t.png\"" style=\""width: 138px; height: 76px; border-width: 1px; border-style: solid;\"" /></a></p> </br>  </br> <p style=\""text-align: center;\"">&nbsp;</p> </br>  </br> <p style=\""text-align: center;\"">To learn more watch</p> </br>  </br> <p style=\""text-align: center;\"">an iPlay&nbsp;video by&nbsp;<a href=\""https://www.youtube.com/embed/a40RnTy4WMQ?utm_source=iPal&amp;utm_medium=iPlay_Videos&amp;utm_campaign=iPlay+iPal\"">clicking here</a>.</p>""]}},{""payload"":{""fields"":{""richContent"":[{""options"":[{""title"":""Back To Menu"",""content"":""2140240813"",""kind"":""chips"",""type"":""quick"",""options"":[],""backToMenu"":true,""articleId"":""2140240813""}],""title"":"""",""subtitle"":"""",""content"":"""",""type"":""quick"",""kind"":""chips""}]}}}]}}",
How to apply for an ICICI Bank Credit Card?,"{""queryResult"":{""intent"":{""displayName"":""""},""responseMessages"":[{""text"":{""text"":[""ICICI Bank Credit Cards offer a host of benefits and features to cater to your needs. So, get the credit card of your choice by browsing through the Credit Card section. Please <a href=\""https://buy.icicibank.com/ucj/cc/mobile?ius=IS83006US&amp;iup=UCC00476&amp;ITM=nli_iPal_aomenu_cc\"" target=\""_blank\"">click here.</a> </br>  </br> <page_separator/> </br>  </br> <p style=\""text-align: center;\"">To learn more watch</p> </br>  </br> <p style=\""text-align: center;\"">an iPlay&nbsp;video by&nbsp;<a href=\""https://www.youtube.com/embed/vSF4se5DlJI?utm_source=iPalbaamp;utm_medium=iPlay_Videos&amp;utm_campaign=iPlay+iPal\"">clicking here</a></p> </br>  </br> <p style=\""text-align: center;\""><a href=\""https://www.youtube.com/embed/vSF4se5DlJI?utm_source=iPal&amp;utm_medium=iPlay_Videos&amp;utm_campaign=iPlay+iPal\"" target=\""_blank\""><img alt=\""\"" src=\""https://www.icicibank.com/assets/images/iplay-t.png\"" style=\""width: 138px; height: 76px; border-width: 1px; border-style: solid;\"" /></a></p>""]}},{""payload"":{""fields"":{""richContent"":[{""options"":[{""title"":""Back To Menu"",""content"":""2140240813"",""kind"":""chips"",""type"":""quick"",""options"":[],""backToMenu"":true,""articleId"":""2140240813""}],""title"":"""",""subtitle"":"""",""content"":"""",""type"":""quick"",""kind"":""chips""}]}}}]}}",
Tree structure_2338849943,"{""title"":"""",""options"":[{""title"":""Apply for FD"",""content"":""2140136573"",""type"":""persist"",""kind"":""articleId"",""options"":[]},{""title"":""Closing Fixed Deposit"",""content"":""2140136733"",""type"":""persist"",""kind"":""articleId"",""options"":[]},{""title"":""Fixed Deposit interest rates"",""content"":""2164712263"",""type"":""persist"",""kind"":""articleId"",""options"":[]},{""title"":""Types of Fixed deposits"",""content"":""2366749183"",""type"":""persist"",""kind"":""articleId"",""options"":[]},{""title"":""Overdraft against FD"",""content"":""2181954863"",""type"":""persist"",""kind"":""articleId"",""options"":[]},{""title"":""Back to Menu"",""content"":""1667452498"",""type"":""quick"",""kind"":""back-to-menu"",""options"":[]}],""content"":""Do you need help with any of the following?""}",
